TTIME_S,TRXI_M,TRYI_M,TRZI_M,TGRNKM_KM,TALTKM_KM,TDRNGE_M,TCRNGE_M,TVRMAG_M/S,TAIMAG_M/S2,TABXB_M/S2,TABYB_M/S2,TABZB_M/S2,TPITCH_DEG,THEADG_DEG,TAMACH
1271.70,-5.276659E+006,-2.742535E+006,2.326132E+006,4073.17,10.2845,4.073175E+006,-307.832,1503.85,56.3080,-22.9508,2.609510E-012,49.0333,-57.1813,187.719,5.04277
1271.80,-5.276576E+006,-2.742527E+006,2.326004E+006,4073.27,10.1655,4.073267E+006,-303.297,1501.91,56.3723,-23.2840,2.719244E-012,49.0333,-57.3277,187.719,5.02746
1271.90,-5.276493E+006,-2.742519E+006,2.325876E+006,4073.36,10.0462,4.073358E+006,-298.791,1499.93,56.4384,-23.6180,2.340747E-012,49.0333,-57.4752,187.718,5.01212
1272.00,-5.276409E+006,-2.742511E+006,2.325749E+006,4073.45,9.92684,4.073448E+006,-294.312,1497.93,56.5063,-23.9526,2.448833E-012,49.0333,-57.6238,187.717,4.99675
1272.10,-5.276325E+006,-2.742502E+006,2.325622E+006,4073.54,9.80730,4.073538E+006,-289.861,1495.91,56.5758,-24.2879,2.410607E-012,49.0333,-57.7734,187.716,4.98134
1272.20,-5.276240E+006,-2.742494E+006,2.325496E+006,4073.63,9.68761,4.073628E+006,-285.438,1493.85,56.6471,-24.6238,2.209032E-012,49.0333,-57.9241,187.716,4.96590
1272.30,-5.276156E+006,-2.742485E+006,2.325370E+006,4073.72,9.56776,4.073717E+006,-281.043,1491.77,56.7201,-24.9602,2.517167E-012,49.0333,-58.0757,187.715,4.95042
1272.40,-5.276070E+006,-2.742476E+006,2.325244E+006,4073.81,9.44778,4.073805E+006,-276.676,1489.66,56.7948,-25.2970,2.239858E-012,49.0333,-58.2284,187.714,4.93492
1272.50,-5.275985E+006,-2.742467E+006,2.325119E+006,4073.89,9.32765,4.073893E+006,-272.338,1487.53,56.8712,-25.6343,2.459109E-012,49.0333,-58.3822,187.713,4.91938
1272.60,-5.275899E+006,-2.742458E+006,2.324994E+006,4073.98,9.20739,4.073981E+006,-268.028,1485.36,56.9492,-25.9719,2.464707E-012,49.0333,-58.5369,187.712,4.90380
1272.70,-5.275813E+006,-2.742449E+006,2.324870E+006,4074.07,9.08700,4.074068E+006,-263.747,1483.17,57.0289,-26.3098,2.752598E-012,49.0333,-58.6925,187.712,4.88820
1272.80,-5.275727E+006,-2.742440E+006,2.324747E+006,4074.15,8.96648,4.074154E+006,-259.494,1480.95,57.1102,-26.6480,2.636552E-012,49.0333,-58.8492,187.711,4.87256
